file "01.png" 	00:00.000   00:00:46.320
file "02.png" 	00:46.320	00:01:18.100	
file "03.png" 	00:01:18.100	00:02:04.320
file "04.png" 	00:02:04.320	00:04:15.500
file "05.png" 	00:04:15.500	00:05:42.600
file "06.png" 	00:05:42.600	00:06:49.720
file "07.png" 	00:06:49.720	00:07:16.160
file "08.png" 	00:07:16.160	00:09:47.040
file "09.png" 	00:09:47.040	00:10:41.240
file "10.png" 	00:10:41.240	00:12:01.300
file "11.png" 	00:12:01.300	00:14:25.940
file "12.png" 	00:14:25.940	00:16:57.440
file "13.png" 	00:16:57.440	00:17:17.620
file "14.png" 	00:17:17.620	00:18:13.080
file "15.png"	00:18:13.080	00:18:20.580


